Address,City,State,Zip Code,Latitude,Longitude,Number Of Bathrooms,Number of Bedrooms,Price,Price Per Square Foot,Square Feet,Year Built,Sold
5805 S 67th St,Cave Springs,AR,72718,36.2787016,-94.209511,3,4,489000,202,2420,2014,1
6204 S 62nd St,Rogers,AR,72758,36.2725652,-94.2018053,3,3,510500,237,2154,2019,1
650 Kensington St,Cave Springs,AR,72718,36.272559,-94.2158364,4,4,715000,213,3358,2015,1
6400 S 63rd St,Rogers,AR,72758,36.269735,-94.203517,4,4,649900,223,2910,2023,1
1431 Cave Stream Dr,Cave Springs,AR,72718,36.2703524,-94.2046073,3,3,460000,204,2260,2020,1
1427 Allens Mill Way,Cave Springs,AR,72718,36.2739345,-94.2049675,3,4,530000,225,2359,2021,1
554 Kensington St,Cave Springs,AR,72718,36.2711211,-94.2158364,4,4,773900,217,3572,2015,1
402 Birkshire Rd,Cave Springs,AR,72718,36.2679291,-94.2103917,5,5,1241000,270,4597,2020,1
509 Hampton Park Bnd,Cave Springs,AR,72718,36.2689579,-94.2075895,2,3,336000,242,1390,2012,1
6205 W Star Light Dr,Rogers,AR,72758,36.269665,-94.202879,3,4,629900,225,2800,2023,1
3407 Shook Dr,Springdale,AR,72762,36.2027571,-94.1695741,2,3,330000,178,1858,1978,1
4379 Carriage Crossing Ln,Springdale,AR,72762,36.2044176,-94.1778151,3,4,500000,187,2669,2005,1
2149 Gas Light Cv,Springdale,AR,72762,36.2045524,-94.1763748,3,4,512000,177,2899,2006,1
2559 Raintree Cir,Springdale,AR,72762,36.208016,-94.1790153,4,5,600000,173,3460,2005,1
5317 Clear Springs Ave,Springdale,AR,72762,36.205133,-94.1884777,2,4,404738,206,1964,2023,1
5915 Poppy Ave,Springdale,AR,72762,36.209375,-94.1953168,3,4,550000,191,2874,2022,1
1929 Wilkes Ave,Springdale,AR,72762,36.2051513,-94.202866,6,5,700000,133,5258,2007,1
1224 W Huntsville Ave,Springdale,AR,72764,36.189146,-94.1426213,4,4,460000,100,4609,1949,1
703 Sherman St,Springdale,AR,72764,36.1909951,-94.1449388,2,3,230000,140,1646,1970,1
1801 Lawrence Ave,Springdale,AR,72762,36.1928906,-94.1519563,2,3,273000,137,1997,1964,1
715 Morrison Pl,Springdale,AR,72762,36.1944403,-94.1554954,2,3,240000,167,1437,1965,1
505 Betty St,Springdale,AR,72762,36.1900582,-94.1701541,2,3,247000,196,1259,1982,1
1704 Granada St,Springdale,AR,72762,36.2012892,-94.1600795,4,4,548000,132,4154,1992,1
1984 Silverado Pl,Springdale,AR,72762,36.2016629,-94.1553554,2,3,364900,175,2085,2002,1
3275 Thornbury Dr,Springdale,AR,72764,36.2136918,-94.1471779,5,5,865000,183,4720,2007,1
1555 London Ter,Springdale,AR,72764,36.2199002,-94.1457185,2,3,335000,186,1800,1998,1
1308 W Stultz Rd,Springdale,AR,72764,36.2216299,-94.1422,2,2,335000,189,1774,1980,1
6200 W Tumbler Rdg,Rogers,AR,72758,36.2813197,-94.2019405,3,4,565000,209,2708,2017,1
6002 W Woodbine Dr,Rogers,AR,72758,36.2826723,-94.1999842,4,4,520000,219,2372,2015,1
5604 S 59th St,Rogers,AR,72758,36.2834592,-94.1986434,4,6,860000,238,3610,2021,1
6105 W Noble St,Rogers,AR,72758,36.285294,-94.2013462,3,4,714250,201,3560,2006,1
5301 S 60th Pl,Rogers,AR,72758,36.2877088,-94.1992437,4,5,730000,184,3968,2007,1
6101 W Laurel Hill Ln,Rogers,AR,72758,36.2857285,-94.2004816,4,4,608400,181,3361,2006,1
6513 W Pleasant Way,Rogers,AR,72758,36.2898504,-94.2070074,3,3,413000,220,1874,2016,1
6602 W Braebourne Dr,Rogers,AR,72758,36.2813183,-94.2090506,3,4,560000,199,2812,2003,1
5603 S Chadwick Dr,Rogers,AR,72758,36.2814168,-94.216477,3,5,563000,199,2826,2007,1
713 Cannon Cv,Cave Springs,AR,72718,36.26616,-94.22324,2,4,465165,227,2048,2023,1
3812 W Pawnee Rd,Rogers,AR,72758,36.3161547,-94.1727544,3,3,370000,211,1752,2016,1
4606 W Centre Ct,Rogers,AR,72758,36.3271168,-94.1838166,4,4,455000,132,3434,1987,1
5913 W Willow St,Rogers,AR,72758,36.3260465,-94.1975027,2,3,427000,215,1987,2013,1
6115 S 37th St,Rogers,AR,72758,36.273083,-94.168794,2,3,328000,202,1624,2012,1
